RecordNumber,City,Zipcode,State
1,PARC PARQUE,704,PR
2,PASEO COSTA DEL SUR,704,PR
10,BDA SAN LUIS,709,PR
49347,HOLT,32564,FL
49348,HOMOSASSA,34487,FL
61391,CINGULAR WIRELESS,76166,TX
61392,FORT WORTH,76177,TX
61393,FT WORTH,76177,TX
54356,SPRUCE PINE,35585,AL
76511,ASH HILL,27007,NC
4,URB EUGENE RICE,704,PR
39827,MESA,85209,AZ
39828,MESA,85210,AZ
49345,HILLIARD,32046,FL
49346,HOLDER,34445,FL
3,SECT LANAUSSE,704,PR
54354,SPRING GARDEN,36275,AL
54355,SPRINGVILLE,35146,AL
76512,ASHEBORO,27203,NC
76513,ASHEBORO,27204,NC
